# photon energy [MeV], events
1.1333076650185254, 587801.60722749
1.5888648468825448, 766682.207454619
2.227542951999557, 514681.38567569235
3.202099203790433, 166400.2008471052
4.779118796471231, 21228.68422146189
6.869996593898882, 16825.250484300897
10.125926777789442, 13335.214321633186
14.196258964747484, 10223.871552990224
20.407161840365603, 7095.149298539749
30.07882518043099, 4763.044240549315
43.238395055301666, 2708.272174434607
62.93801527310921, 3532.457318171043
88.23729256112046, 4607.459627762553
130.056012595083, 4607.459627762553
189.31015586031464, 2619.806593117235
268.7495997249737, 1304.3213867190013
391.1932066511428, 587.80160722749
591.2064049615387, 108.05723392070267
828.8544259337018, 2.0085591019152993
