# inelastic DM-c12 scattering with m_chi=30MeV, epsilon=1e-4
# Include only n=1->13 multipole transition, see more at BigstickPublick/examples/C/C12_YSOX_more_states/
# DM energy [MeV], inelastic cross section [cm^2]
1,0.
2,0.
3,0.
4,0.
5,0.
6,0.
7,0.
8,0.
9,0.
10,0.
11,0.
12,0.
13,0.
14,0.
15,0.
16,0.
17,0.
18,0.
19,0.
20,0.
21,0.
22,0.
23,0.
24,0.
25,0.
26,0.
27,0.
28,0.
29,0.
30,0.
31,0.
32,0.
33,0.
34,0.
35,0.
36,0.
37,0.
38,0.
39,0.
40,0.
41,0.
42,0.
43,0.
44,0.
45,0.
46,2.1245938510278585e-35
47,2.1824861996754959e-35
48,2.231333832164497e-35
49,2.2743967646141972e-35
50,2.3126728434574709e-35
51,2.3467379376721006e-35
52,2.377037911234795e-35
53,2.4039665914824284e-35
54,2.427892752805384e-35
55,2.4491712359473403e-35
56,2.468148388450322e-35
57,2.485165421953718e-35
58,2.500561172205977e-35
59,2.514674987181524e-35
60,2.527850186772135e-35
61,2.5404384553345835e-35
62,2.5528055506494435e-35
63,2.5653388114955504e-35
64,2.5784571246305465e-35
65,2.592624296997823e-35
66,2.6083672236486686e-35
67,2.626300940324035e-35
68,2.647163766630177e-35
69,2.6718675746983856e-35
70,2.701571296802402e-35
71,2.7377911332808335e-35
72,2.782570551418905e-35
73,2.838751232514213e-35
74,2.9104216754344944e-35
75,3.0036941452024226e-35
76,3.1281252167563956e-35
77,3.2994921112826783e-35
78,3.545696272317062e-35
79,3.9207851251661136e-35
80,4.5437499020059645e-35
81,5.733365018734738e-35
82,8.701844635919233e-35
83,2.5138792312811253e-34
# 84,6.217433454748909e-31
# 85,2.183039338666791e-30
# 86,3.451204167769994e-31
# 87,7.939788720700963e-31
# 88,1.6395305285293078e-30
# 89,2.4382319763195385e-28
# 90,9.826789767302436e-31
# 91,3.1013106541194964e-31
# 92,2.979388500112596e-31
# 93,2.4204460999042784e-31
# 94,2.4641798473261845e-31
# 95,1.8422239163012615e-31
# 96,5.344148847302148e-31
# 97,2.717577766021208e-30
# 98,3.2157469552055364e-31
# 99,1.5027901212679981e-31
# 100,2.565245974130602e-30
