# m_chi [MeV], alpha_B
1.0082871429943991, 2.9375899246367445e-11
1.1601553017399715, 2.7920045055707763e-11
1.3348978349145142, 2.8638722571206118e-11
1.5233359765771803, 2.7920045055707763e-11
1.7099165287308553, 2.9375899246367445e-11
1.9512934226359633, 3.013205125986835e-11
2.301479805289198, 3.090766704748988e-11
2.714511939982173, 3.2519306874890505e-11
3.1753537487883126, 3.421498355079469e-11
3.6536253706620134, 3.3356371952111685e-11
4.238772844345205, 3.509569629040667e-11
4.999478800728133, 3.421498355079469e-11
5.896703880292776, 3.599907906662887e-11
6.897785379387656, 3.692571541883436e-11
8.068820158853175, 3.8851158498469445e-11
9.36108448607987, 3.7876203907024585e-11
11.601553017399715, 3.7876203907024585e-11
13.459603241553642, 3.7876203907024585e-11
15.744635704402672, 3.985120896429793e-11
16.68100537200059, 4.192919807419255e-11
17.383746057861856, 4.4115541205283917e-11
18.116091942004132, 4.6415888336127916e-11
20.00208501442905, 4.8836184056013553e-11
22.45197139773529, 5.270530181366346e-11
24.585610873521603, 5.688095605674808e-11
27.145119399821724, 6.458839987528995e-11
30.219462700422756, 6.970550985687784e-11
33.09125678088279, 7.91506974611211e-11
36.53625370662015, 8.987572031888339e-11
38.39099699557995, 1.1013937428076497e-10
41.011270705513, 1.2192498623467734e-10
43.81038411361162, 1.5720559228691058e-10
46.41588833612778, 1.8781517718941521e-10
49.99478800728132, 2.3608502078764066e-10
51.67275876081845, 3.202718465856766e-10
54.2958985962062, 4.3447930484189817e-10
