# m_A' [MeV], alpha_B
2.1081787103330303, 1.356725482119538e-9
2.4444145897921006, 1.356725482119538e-9
2.834276225551557, 1.356725482119538e-9
3.365055385091181, 1.356725482119538e-9
3.9017519902171656, 1.4589411377390284e-9
4.914922576844725, 1.5019518776707759e-9
6.453102421249161, 1.5462318079061876e-9
8.128786475071472, 1.568857717673282e-9
10.179160998792954, 1.5462318079061876e-9
12.374991224105344, 1.5239310244230203e-9
15.404959181802058, 1.638743940398418e-9
18.507685034789834, 1.6151088854135673e-9
23.039226248880112, 1.5019518776707759e-9
28.34276225551557, 1.5019518776707759e-9
36.342208439575664, 1.5462318079061876e-9
45.24044102083474, 1.6870554093206285e-9
57.32640931592755, 1.894971467748891e-9
68.87256988307819, 2.2233263094654804e-9
75.71418167801038, 2.497332489665753e-9
78.91727662814763, 2.9300637377120852e-9
85.73572079223644, 3.2911693339062898e-9
94.81207203473299, 4.732371518658986e-9
101.19084692056326, 5.163375908921593e-9
109.93372514855606, 8.967708132953194e-9
