0.0010121,6.695e-10,0.0010121,4.2323e-12
0.0014172,6.834e-10,0.0012416,4.5724e-12
0.0020823,7.248e-10,0.0015792,5.0358e-12
0.002951,7.835e-10,0.0020574,5.5468e-12
0.0040341,8.151e-10,0.0027788,5.9948e-12
0.0060714,9.334e-10,0.0031339,7.123e-12
0.0090285,1.0286e-09,0.0036641,9.677e-12
0.016079,1.3219e-09,0.0041822,1.3921e-11
0.023342,1.73e-09,0.0053192,1.7526e-11
0.029333,2.5376e-09,0.0066844,2.1646e-11
0.033481,3.5813e-09,0.0084001,2.5732e-11
0.038216,5.1518e-09,0.010182,2.9438e-11
0.041075,7.131e-09,0.013107,4.8432e-11
0.051,8.807e-09,0.01667,7.669e-11
0.068061,1.1745e-08,0.018575,1.0617e-10
0.084507,1.5361e-08,0.022515,1.8494e-10
0.1,2.0474e-08,0.025699,2.7117e-10
0.12416,2.8905e-08,0.027956,3.6827e-10
0.15232,4.1593e-08,0.032295,5.9415e-10
0.16973,4.8484e-08,0.034711,8.545e-10
0.18687,4.8504e-08,0.037308,1.1385e-09
0.21849,3.9334e-08,0.041075,1.669e-09
0.24055,2.7897e-08,0.046323,2.267e-09
0.24938,1.7979e-08,0.049193,3.138e-09
0.24938,1.1808e-08,0.055479,4.4283e-09
0.25545,6.5308e-09,0.063324,6.2497e-09
0.25545,4.3721e-09,0.071414,8.328e-09
0.27128,2.262e-08,0.078625,1.0681e-08
0.27788,4.7664e-08,0.082499,1.5958e-08
0.2951,7.399e-08,0.091928,2.1264e-08
0.31718,1.1486e-07,0.1,2.6754e-08
0.34921,1.8527e-07,0.1062,3.6331e-08
,,0.11976,5.3268e-08
,,0.13835,7.518e-08
,,0.15983,9.83e-08
,,0.1677,1.4969e-07
,,0.19142,1.8838e-07
,,0.22113,1.7799e-07
,,0.24055,1.2623e-07
,,0.2464,9.123e-08
,,0.25545,3.5096e-08
,,0.26484,1.312e-07
,,0.26804,2.0362e-07
